Year,Country,lat,lng,groupname
2016,Algeria,28.033886,1.659626,alqaida
2016,Bangladesh,23.684994,90.356331,alqaida
2016,Mali,17.570692,-3.996166,alqaida
2016,Libya,26.3351,17.228331,alqaida
2016,Pakistan,30.375321,69.345116,alqaida
2016,Yemen,15.552727,48.516388,alqaida
2017,Mali,17.570692,-3.996166,alqaida
2017,Pakistan,30.375321,69.345116,alqaida
2017,Phillippines,12.879721,121.774017,alqaida
2017,Russia,61.52401,105.318756,alqaida
2017,Yemen,15.552727,48.516388,alqaida
1995,Afganistan,33.93911,67.709953,taliban
2001,Afganistan,33.93911,67.709953,taliban
2002,Afganistan,33.93911,67.709953,taliban
2003,Afganistan,33.93911,67.709953,taliban
2004,Pakistan,30.375321,69.345116,taliban
2004,Afganistan,33.93911,67.709953,taliban
2005,Afganistan,33.93911,67.709953,taliban
2005,Pakistan,30.375321,69.345116,taliban
2006,Afganistan,33.93911,67.709953,taliban
2006,Pakistan,30.375321,69.345116,taliban
2007,Afganistan,33.93911,67.709953,taliban
2007,Pakistan,30.375321,69.345116,taliban
2008,Afganistan,33.93911,67.709953,taliban
2008,Pakistan,30.375321,69.345116,taliban
2009,Afganistan,33.93911,67.709953,taliban
2009,Pakistan,30.375321,69.345116,taliban
2010,Afganistan,33.93911,67.709953,taliban
2010,Pakistan,30.375321,69.345116,taliban
2011,Afganistan,33.93911,67.709953,taliban
2011,Pakistan,30.375321,69.345116,taliban
2012,Afganistan,33.93911,67.709953,taliban
2012,Pakistan,30.375321,69.345116,taliban
2013,Afganistan,33.93911,67.709953,taliban
2013,Pakistan,30.375321,69.345116,taliban
2014,Afganistan,33.93911,67.709953,taliban
2014,Iraq,33.223191,43.679291,taliban
2014,Pakistan,30.375321,69.345116,taliban
2015,Afganistan,33.93911,67.709953,taliban
2015,Iraq,33.223191,43.679291,taliban
2015,Pakistan,30.375321,69.345116,taliban
2016,Afganistan,33.93911,67.709953,taliban
2016,Pakistan,30.375321,69.345116,taliban
2017,Afganistan,33.93911,67.709953,taliban
2017,Pakistan,30.375321,69.345116,taliban
